index,method,hsq,intercept,sex,sigmasq,loglik
1,reml,0.764297223462,1417.98349645,-23.2419611317,295341.698951,-1977.01316184
1,ml,0.720556597475,1417.3369147,-23.9850451202,291566.338389,-1992.97277314
2,reml,0.99,6037.72076225,52.6754826992,4405098.01844,-2317.26653414
2,ml,0.99,6037.72076225,52.6754826992,4405098.01844,-2336.01542979
3,reml,0.206173002042,48.1689000277,-1.86553039348,205.996336081,-1053.19580308
3,ml,0.0,48.1495555556,-1.85249206349,199.897445509,-1060.70258843
4,reml,0.0147593323615,14.4327686057,-2.65067012433,77.3039854848,-930.271691051
4,ml,0.0,14.4291111111,-2.65506349206,77.1497997261,-936.459348331
5,reml,0.99,80.5087353651,3.66187629854,121.635604625,-957.8735215
5,ml,0.99,80.5087353651,3.66187629854,121.635604625,-966.125173808
6,reml,0.0,3.4422962963,-0.31308994709,13.651623586,-705.995899384
6,ml,0.0,3.4422962963,-0.31308994709,13.651623586,-710.447634909
7,reml,0.99,3175.86312167,0.116977445366,2668650.82934,-2252.36249733
7,ml,0.99,3175.86312167,0.116977445366,2668650.82934,-2270.61020351
8,reml,0.523083072099,31.9972156428,-3.40593493995,229.180819944,-1058.18427479
8,ml,0.479346605396,31.9378200041,-3.47172073908,226.796463639,-1066.84315849
9,reml,0.146796795506,85.0038193068,5.14642315149,1800.7508335,-1319.8546884
9,ml,0.0,84.2659398496,4.98166015038,1766.61785815,-1329.59230706
10,reml,0.724383227477,37.7351024178,2.60022564257,304.449496588,-1075.38869965
10,ml,0.687572455461,37.6934816067,2.58707190115,301.282190606,-1084.45188935
11,reml,0.5017391236,1590.61537599,-82.3265402245,194422.808892,-1909.78984225
11,ml,0.458751056584,1589.82614918,-81.9761003457,192483.290438,-1925.17094919
12,reml,0.99,167.191250491,2.04465562827,1940.23307559,-1301.44439415
12,ml,0.99,167.191250491,2.04465562827,1940.23307559,-1312.46153903
13,reml,0.741395762386,5553.16338985,-265.65370851,2726525.35418,-2239.59098011
13,ml,0.713579401161,5549.84969033,-264.828406268,2704715.98176,-2257.76456193
14,reml,0.950077784817,67.2555118235,-2.00534100446,371.334750353,-1091.61968738
14,ml,0.922534393249,67.3033698724,-2.02123649408,367.838312509,-1100.96531581
15,reml,0.99,7.73160932533,-0.146260037912,8.60763186473,-607.951382821
15,ml,0.99,7.73160932533,-0.146260037912,8.60763186473,-613.550613545
16,reml,0.99,972.231885014,-117.217475789,321193.173893,-1955.42642577
16,ml,0.99,972.231885014,-117.217475789,321193.173893,-1971.55280527
17,reml,0.99,69.2896848305,-1.36543820347,1948.57051339,-1301.99324865
17,ml,0.99,69.2896848305,-1.36543820347,1948.57051339,-1313.01468145
18,reml,0.99,3815.21505684,-241.390939523,3716897.58485,-2268.84746728
18,ml,0.99,3815.21505684,-241.390939523,3716897.58485,-2287.42244867
19,reml,0.945045158871,32.4429424032,2.06460927992,371.177947955,-1091.79053433
19,ml,0.917382810391,32.3951495457,2.08046762291,367.68290933,-1101.1343629
20,reml,0.454547744543,13.9879453015,-1.00898152567,211.955554846,-1038.0803807
20,ml,0.398520194058,14.0003786424,-1.01218333418,209.339531879,-1046.59267412
21,reml,0.871555838148,57.6277675245,-9.17957523712,1104.63943038,-1234.56603152
21,ml,0.839501251722,57.5034020583,-9.14282203829,1093.32987272,-1244.97717438
22,reml,0.623345027704,9.58076047428,-1.30797928231,24.8998568168,-767.383450439
22,ml,0.578502499632,9.59044113529,-1.30503767223,24.610047944,-773.889893207
23,reml,0.734501244146,2.15731463313,-0.765086870483,28.996854652,-777.072312652
23,ml,0.684325019352,2.13742447462,-0.78519067731,28.5853133532,-783.786197666
24,reml,0.422125128846,108.486547888,2.03720077484,2600.94858547,-1365.2597605
24,ml,0.370488554068,108.466438171,2.2184213911,2572.15204291,-1376.25265422
25,reml,0.0,3.70313432836,-0.655294328358,21.2073151766,-757.146805867
25,ml,0.0,3.70313432836,-0.655294328358,21.2073151766,-762.039029111
26,reml,0.99,23.0261230271,8.90262612978,18.8302104572,-716.282567992
26,ml,0.99,23.0261230271,8.90262612978,18.8302104572,-722.668653091
